Company Name,URL
Main Page,https://en.wikipedia.org/wiki/Main_Page
Wikipedia:Contents,https://en.wikipedia.org/wiki/Wikipedia:Contents
Portal:Current Events,https://en.wikipedia.org/wiki/Portal:Current_events
Special:Random,https://en.wikipedia.org/wiki/Special:Random
Wikipedia:About,https://en.wikipedia.org/wiki/Wikipedia:About
Help:Contents,https://en.wikipedia.org/wiki/Help:Contents
Help:Introduction,https://en.wikipedia.org/wiki/Help:Introduction
Wikipedia:Community Portal,https://en.wikipedia.org/wiki/Wikipedia:Community_portal
Special:Recentchanges,https://en.wikipedia.org/wiki/Special:RecentChanges
Wikipedia:File Upload Wizard,https://en.wikipedia.org/wiki/Wikipedia:File_upload_wizard
Main Page,https://en.wikipedia.org/wiki/Main_Page
Special:Search,https://en.wikipedia.org/wiki/Special:Search
Help:Introduction,https://en.wikipedia.org/wiki/Help:Introduction
Special:Mycontributions,https://en.wikipedia.org/wiki/Special:MyContributions
Special:Mytalk,https://en.wikipedia.org/wiki/Special:MyTalk
Wikipedia:Wikiproject Companies,https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Companies
Wikipedia Talk:Wikiproject Companies,https://en.wikipedia.org/wiki/Wikipedia_talk:WikiProject_Companies
Wikipedia:Wikiproject Companies,https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Companies
Wikipedia:Wikiproject Companies,https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Companies
Wikipedia:Wikiproject Companies,https://en.wikipedia.org/wiki/Special:WhatLinksHere/Wikipedia:WikiProject_Companies
Wikipedia:Wikiproject Companies,https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Wikipedia:WikiProject_Companies
Wikipedia:File Upload Wizard,https://en.wikipedia.org/wiki/Wikipedia:File_Upload_Wizard
Special:Specialpages,https://en.wikipedia.org/wiki/Special:SpecialPages
Wikipedia:Notability (Organizations And Companies),https://en.wikipedia.org/wiki/Wikipedia:Notability_(organizations_and_companies)
File:People Icon.Svg,https://en.wikipedia.org/wiki/File:People_icon.svg
Wikipedia:Wikiproject,https://en.wikipedia.org/wiki/Wikipedia:WikiProject
Guide,https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Council/Guide
Directory,https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Council/Directory
File:Factory 1B.Png,https://en.wikipedia.org/wiki/File:Factory_1b.png
Wikipedia:Shortcut,https://en.wikipedia.org/wiki/Wikipedia:Shortcut
Portal:Companies,https://en.wikipedia.org/wiki/Portal:Companies
Wikipedia:Wikiproject,https://en.wikipedia.org/wiki/Wikipedia:WikiProject
Assessment,https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Companies/Assessment
Guidelines,https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Companies/Guidelines
Popular Pages,https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Companies/Popular_pages
Participants,https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Companies/Participants
Portal:Companies,https://en.wikipedia.org/wiki/Portal:Companies
Taskforce,https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Companies/TaskForce
Template:Wikiproject Companies,https://en.wikipedia.org/wiki/Template:WikiProject_Companies
To Do,https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Companies/to_do
Template:Wikiproject Companies,https://en.wikipedia.org/wiki/Template:WikiProject_Companies
Template:Portal,https://en.wikipedia.org/wiki/Template:Portal
Wikipedia:Corp,https://en.wikipedia.org/wiki/Wikipedia:CORP
Template:Infobox Company,https://en.wikipedia.org/wiki/Special:WhatLinksHere/Template:Infobox_company
Wikipedia:Corp,https://en.wikipedia.org/wiki/Wikipedia:CORP
Company,https://en.wikipedia.org/wiki/Company
Wikipedia:Good Articles,https://en.wikipedia.org/wiki/Wikipedia:Good_articles
Wikipedia:Featured Articles,https://en.wikipedia.org/wiki/Wikipedia:Featured_articles
To Do,https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Companies/to_do
Wikipedia:Bfaq,https://en.wikipedia.org/wiki/Wikipedia:BFAQ
